j ्
f अ
sjk आ
dj इ
sk ई
fsl उ
fdkl ऊ
fk ए
sj ऎ
fsk ओ
djl औ
fs क
jl ख
fdjk ग
fdl घ
sjl ङ
fj च
fl छ
djk ज
skl झ
dk ञ
dsjkl ट
djkl ठ
fdjl ड
fdsjkl ढ
sjkl ण
dsjk त
fjk द
fjkl थ
dsjl ध
fsjk न
fdsj प
dsk फ
fd ब
jk भ
fsj म
fsjkl य
fds ल
fdsl व
fjl श
fdsjl ष
dsj स
fdk ह
fdj ऋ
fskl ृ
kl ं
fdskl ः
fdsk र
dkl ।
