Turkish-Grade-1 tr-g1.ctb
Turkish-Grade-2 tr-g2.ctb
Tswana-Grade-1 tsn-za-g1.ctb
Ukrainian uk.utb
Unicode-Braille unicode-braille.utb
Urdu-Grade-1 ur-pk-g1.utb
Urdu-Grade-2 ur-pk-g2.ctb
Vietnamese-Computer vi.ctb
Vietnamese-Grade-1 vi-g1.ctb
Simplified-Chinese zh-chn.ctb
Chinese-Common-Grade-1 zhcn-g1.ctb
Chinese-Common-Grade-2 zhcn-g2.ctb
Hong-Kong-Cantonese zh-hk.ctb
Bopomofo-based-Chinese zh-tw.ctb
