sjk ಾ
dj ಿ
sk ೀ
fsl ು
fdkl ೂ
dl ೆ
fk ೇ
sj ೈ
fsjl ೊ
fsk ೋ
djl ೌ
kl ಂ
fdj ೃಋೊ
f ಅ
fs ಕ
jl ಖ
fdjk ಗ
fdl ಘ
dk ಞ
fj ಚ
fl ಛ
djk ಜ
skl ಝ
sjl ಙ
dsjkl ಟ
djkl ಠ
fdjl ಡ
fdsjkl ಢ
sjkl ಣ
dsjk ತ
fjkl ಥ
fjk ದ
dsjl ಧ
fsjk ನ
fdsj ಪ
dsk ಫ
fd ಬ
jk ಭ
fsj ಮ
fsjkl ಯ
fdsk ರ
fds ಲ
fdsl ವ
fjl ಶ
fdsjl ಷ
dsj ಸ
fdk ಹ
jkl ಳ
j ್
