f a
fd b
fj c
fjk d
fk e
fdj f
fdjk g
fdk h
dj i
djk j
fs k
fds l
fsj m
fsjk n
fsk o
fdsj p
fdsjk q
fdsk r
dsj s
dsjk t
fsl u
fdsl v
djkl w
fsjl x
fsjkl y
fskl z
fl ch
fdl gh
fjl sh
fjkl th
fdjl ed
fdjkl er
fdkl ou
djl ow
dkl dis
dl en
dsk to
fdsjkl for
fdskl of
dsjl the
dsjkl with
fkl wh
ds be
dk con
sk in
skl by
sj st
sjk ar
sl com
fdsjl and
sjl ing
dsl his
dskl were
